CO_UF,CO_MUNICIPIO,IN_CAPITAL,CO_CURSO,IN_AJUDA_DEFICIENTE,IN_MATERIAL_DIGITAL,IN_MATERIAL_AMPLIADO,IN_MATERIAL_TATIL,IN_MATERIAL_IMPRESSO,IN_MATERIAL_AUDIO,IN_MATERIAL_BRAILLE,IN_MATERIAL_LIBRAS,IN_DISCIPLINA_LIBRAS,IN_TRADUTOR_LIBRAS,IN_GUIA_INTERPRETE,IN_RECURSOS_COMUNICACAO,IN_RECURSOS_INFORMATICA,,,
53,5300108,1,5001037,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,5001038,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,5001039,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,5001040,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,5001042,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,5001043,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,5001044,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,5001045,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,5001148,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,5001149,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,5001150,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,5001151,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
28,2806701,0,294,1,0,0,0,0,0,0,1,1,1,0,0,0,,,
28,2806701,0,295,1,0,0,0,0,0,0,0,1,0,0,0,1,,,
28,2806701,0,297,1,0,0,0,0,0,0,0,1,1,0,0,0,,,
28,2806701,0,299,1,0,0,0,0,0,0,0,1,0,0,0,1,,,
28,2800308,1,302,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
28,2800308,1,303,1,1,0,0,1,0,0,0,1,0,1,1,1,,,
28,2800308,1,304,0,,,,,,,,,,,,,,,
28,2806701,0,306,1,0,0,0,0,0,0,0,1,0,0,0,1,,,
28,2806701,0,308,1,0,0,0,0,0,0,1,1,0,0,0,0,,,
28,2806701,0,310,1,0,0,0,0,0,0,1,1,0,0,0,0,,,
28,2806701,0,311,1,0,0,0,0,0,0,1,1,0,0,0,0,,,
28,2806701,0,315,1,0,0,0,0,0,0,1,1,0,0,0,0,,,
28,2806701,0,317,1,0,0,0,0,0,0,0,1,1,1,0,1,,,
28,2806701,0,318,0,,,,,,,,,,,,,,,
28,2806701,0,319,1,0,1,0,0,0,0,0,1,0,0,0,0,,,
28,2806701,0,321,1,0,0,0,0,0,0,0,1,1,0,0,0,,,
28,2806701,0,322,1,0,0,0,0,0,0,0,1,1,0,0,0,,,
28,2806701,0,326,1,1,0,0,0,0,0,0,1,0,0,0,0,,,
28,2806701,0,327,1,0,0,1,0,0,1,0,1,1,1,0,0,,,
28,2806701,0,328,1,0,0,0,0,0,0,1,0,0,0,0,0,,,
28,2806701,0,20190,1,0,0,1,0,0,1,0,1,1,1,0,0,,,
28,2806701,0,20762,1,0,0,0,0,0,0,0,1,1,0,0,0,,,
28,2806701,0,20763,0,,,,,,,,,,,,,,,
28,2806701,0,20764,0,,,,,,,,,,,,,,,
28,2800308,1,20766,1,0,0,0,0,0,0,1,1,0,0,0,0,,,
28,2806701,0,20767,1,0,0,0,0,0,0,0,1,0,1,0,0,,,
28,2806701,0,20768,1,0,0,0,0,0,0,0,1,0,1,0,0,,,
28,2806701,0,20782,1,0,0,0,0,0,0,0,1,1,0,0,0,,,
28,2806701,0,22046,0,,,,,,,,,,,,,,,
28,2806701,0,40149,1,0,0,0,0,0,1,0,0,0,0,0,0,,,
28,2806701,0,49512,1,0,0,0,0,0,0,0,1,0,1,0,0,,,
28,2806701,0,49673,1,1,0,0,1,0,0,0,0,0,0,0,0,,,
28,2806701,0,52852,0,,,,,,,,,,,,,,,
28,2806701,0,64064,1,0,0,0,0,1,1,0,0,0,1,0,0,,,
28,2806701,0,80418,1,0,0,0,0,0,0,0,1,1,0,0,0,,,
28,2806701,0,80419,1,0,0,0,0,0,0,1,1,0,0,0,0,,,
28,2806701,0,80420,1,0,0,0,0,0,0,1,1,0,0,0,0,,,
28,2806701,0,80877,1,0,1,1,1,1,1,0,1,1,1,1,1,,,
28,2806701,0,80885,1,1,1,1,1,1,1,0,1,0,1,1,1,,,
28,2806701,0,80886,1,0,0,0,0,0,0,0,1,0,0,0,0,,,
28,2806701,0,80896,1,0,0,0,0,0,0,0,1,0,0,0,0,,,
28,2806701,0,80899,1,0,0,0,0,0,0,0,1,0,0,0,0,,,
28,2806701,0,94033,1,0,0,0,0,0,0,0,0,0,0,0,1,,,
28,2802908,0,95017,1,0,0,0,0,0,0,0,1,1,1,0,0,,,
28,2802908,0,95033,1,0,0,0,0,0,0,1,1,0,0,0,0,,,
28,2802908,0,95037,1,0,0,0,0,0,0,1,1,0,0,0,0,,,
28,2802908,0,95044,0,,,,,,,,,,,,,,,
28,2802908,0,95050,1,0,0,0,0,0,0,0,1,1,1,0,0,,,
28,2802908,0,95051,1,0,0,0,0,0,0,0,1,0,0,0,0,,,
28,2802908,0,95053,0,,,,,,,,,,,,,,,
28,2802908,0,95055,1,0,0,0,1,0,0,0,1,1,0,0,0,,,
28,2802908,0,95057,1,0,0,0,0,0,0,0,1,1,1,0,0,,,
