id_ies,cod,nome,categoria,sigla,tipo_organizacao
572,789,"UNIVERSIDADE FEDERAL DE RORAIMA","Pública Federal",UFRR,Universidade
573,790,"Faculdade Israelita de Ciências da Saúde Albert Einstein","Privada sem fins lucrativos",FICSAE,Faculdade
574,3985,"CENTRO UNIVERSITÁRIO SENAC","Privada sem fins lucrativos",SENACSP,"Centro Universitário"
575,792,"CENTRO UNIVERSITÁRIO DO ESTADO DO PARÁ","Privada sem fins lucrativos",CESUPA,"Centro Universitário"
576,1817,"Faculdade Estácio de Curitiba","Privada com fins lucrativos","ESTÁCIO CURITIBA",Faculdade
577,22202,"Faculdade Estácio de Juazeiro","Privada com fins lucrativos",EstácioJuazeiro,Faculdade
578,793,"Centro Universitário Estácio de Sao Paulo","Privada com fins lucrativos","ESTÁCIO SÃO PAULO","Centro Universitário"
579,4009,"FACULDADE DE TECNOLOGIA ESTÁCIO DE CURITIBA","Privada com fins lucrativos","FATEC ESTÁC CURITIBA",Faculdade
580,1547,"FACULDADE DE MEDICINA ESTÁCIO DE JUAZEIRO DO NORTE","Privada com fins lucrativos","ESTÁCIO FMJ",Faculdade
581,3779,"FACULDADE ESTÁCIO DE SANTO ANDRÉ","Privada com fins lucrativos","ESTÁCIO SANTO ANDRÉ",Faculdade
582,2460,"FACULDADE ESTÁCIO DE NATAL","Privada com fins lucrativos","ESTÁCIO DE NATAL",Faculdade
583,1457,"Faculdade Estácio Euro- Panamericana de Humanidades e Tecnologias - Estácio EUROPAN","Privada com fins lucrativos","ESTÁCIO EUROPAN",Faculdade
584,1280,"Faculdade Estácio Cotia","Privada com fins lucrativos","Estácio FAAC",Faculdade
585,2380,"Faculdade Estácio do Amapá - Estácio Amapá","Privada com fins lucrativos","ESTÁCIO AMAPÁ",Faculdade
586,2122,"CENTRO UNIVERSITÁRIO ESTÁCIO DE SERGIPE","Privada com fins lucrativos",,"Centro Universitário"
587,1058,"Estácio FIB - Centro Universitário Estácio da Bahia","Privada com fins lucrativos","Estácio FIB","Centro Universitário"
588,1298,"Faculdade Estácio de Alagoas - Estácio FAL","Privada com fins lucrativos","ESTÁCIO FAL",Faculdade
589,2036,"Faculdade Estácio do Pará - Estácio FAP","Privada com fins lucrativos","ESTÁCIO FAP",Faculdade
590,1077,"Centro Universitário Estácio do Recife","Privada com fins lucrativos",,"Centro Universitário"
591,1107,"Centro Universitário Estácio do Ceará","Privada com fins lucrativos","Estácio FIC","Centro Universitário"
592,794,"CENTRO UNIVERSITÁRIO DE VÁRZEA GRANDE","Privada sem fins lucrativos",UNIVAG,"Centro Universitário"
593,795,"FACULDADES INTEGRADAS DE DIAMANTINO","Privada sem fins lucrativos",FID,Faculdade
594,796,"FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DO VALE DO SÃO LOURENÇO","Privada com fins lucrativos",EDUVALE,Faculdade
595,798,"FACULDADES INTEGRADAS DE ARACRUZ","Privada sem fins lucrativos",FAACZ,Faculdade
596,802,"CENTRO UNIVERSITÁRIO UNICARIOCA","Privada sem fins lucrativos",UNICARIOCA,"Centro Universitário"
597,1046,"UNIÃO DAS FACULDADES DOS GRANDES LAGOS","Privada sem fins lucrativos",UNILAGO,Faculdade
598,809,"FACULDADE DE DIREITO E CIÊNCIAS SOCIAIS DO LESTE DE MINAS - FADILESTE","Privada sem fins lucrativos",FADILESTE,Faculdade
599,810,"CENTRO TÉCNICO-EDUCACIONAL SUPERIOR DO OESTE PARANAENSE","Privada com fins lucrativos",CTESOP,Faculdade
600,14403,"FACULDADE CESUMAR","Privada com fins lucrativos",CESUMAR,Faculdade
601,1196,"CENTRO UNIVERSITÁRIO DE MARINGÁ - UNICESUMAR","Privada com fins lucrativos",UNICESUMAR,"Centro Universitário"
602,19375,"FACULDADES INTEGRADAS CESUMAR","Privada com fins lucrativos",CESUMAR,Faculdade
603,17632,"Faculdade CESUMAR de Londrina","Privada com fins lucrativos",FAC-CESUMAR,Faculdade
604,19404,"FACULDADES INTEGRADAS CESUMAR DE CURITIBA","Privada com fins lucrativos",CESUMAR,Faculdade
605,19735,"FACULDADE RENOVAÇÃO DE LONDRINA","Privada com fins lucrativos",RENOVAÇÃO,Faculdade
606,18290,"FACULDADE INTEGRADA DE LONDRINA","Privada com fins lucrativos",INTEGRADA,Faculdade
607,18147,"FACULDADE INTEGRADA DE PONTA GROSSA","Privada com fins lucrativos",INTEGRADA,Faculdade
608,18716,"FACULDADE DE INOVAÇÃO TECNOLÓGICA DE LONDRINA","Privada com fins lucrativos",FAC-CESUMAR,Faculdade
