NUM_CURSOS,CODIGO_IES,DEFICIENCIA_FISICA,DEFICIENCIA_VISUAL,DEFICIENCIA_AUDITIVA,DEFICIENCIA_COGNITIVA,DEFICIENCIA_MULTIPLA,RECURSOS_DEF_FISICA,RECURSOS_DEF_VISUAL,RECURSOS_DEF_AUDITIVA,RECURSOS_DEF_COGNITIVA,RECURSOS_DEF_MULTIPLA,CLASS
95,165,62.0,93.0,57.0,75.0,17.0,13.210526315789474,15.852631578947369,18.49473684210526,7.926315789473684,7.926315789473684,3
5,166,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,2
68,167,15.0,4.0,3.0,6.0,2.0,2.5588235294117645,2.985294117647059,2.985294117647059,1.7058823529411764,1.7058823529411764,0
1,171,2.0,1.0,0.0,0.0,0.0,15.0,15.0,9.0,9.0,9.0,0
81,176,2.0,2.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0864197530864197,0.0617283950617283,0.0617283950617283,3
13,192,0.0,1.0,0.0,0.0,0.0,0.4615384615384615,0.5384615384615384,0.5384615384615384,0.3076923076923077,0.3076923076923077,2
4,195,0.0,0.0,1.0,0.0,0.0,1.25,1.0,1.25,0.75,0.75,1
8,197,1.0,4.0,2.0,1.0,3.0,0.0,0.0,875.0,0.0,0.0,3
6,202,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.1666666666666666,3
136,203,42.0,22.0,22.0,14.0,3.0,1.9852941176470589,2.647058823529412,3.3088235294117645,1.3235294117647058,1.3235294117647058,0
25,207,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,1
35,208,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0
7,213,1.0,3.0,0.0,0.0,0.0,1.1428571428571428,1.7142857142857142,2.0,0.8571428571428571,0.8571428571428571,1
4,214,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.25,0.25,3
